case_id,stain,slice_idx,patch_idx,patch_attn_weight,slice_attn_weight,stain_attn_weight,effective_weight,true_label,pred_label
53,sox10,0,214,0.01375211775302887,1.0,0.5843920111656189,0.008036627751478953,0,0
53,melan,0,61,0.021968847140669823,1.0,0.3666341006755829,0.008054528514298831,0,0
53,sox10,0,188,0.013910858891904354,1.0,0.5843920111656189,0.008129394804881118,0,0
53,sox10,0,193,0.016261229291558266,1.0,0.5843920111656189,0.009502932489719007,0,0
53,sox10,0,62,0.016525497660040855,1.0,0.5843920111656189,0.009657368813064005,0,0
53,sox10,0,204,0.01692385785281658,1.0,0.5843920111656189,0.009890167327288535,0,0
53,melan,0,66,0.027834558859467506,1.0,0.3666341006755829,0.010205098455142447,0,0
53,melan,0,55,0.02832230180501938,1.0,0.3666341006755829,0.010383921651345718,0,0
53,sox10,0,185,0.017866216599941254,1.0,0.5843920111656189,0.010440874250760235,0,0
53,sox10,0,192,0.01795724593102932,1.0,0.5843920111656189,0.01049407106462985,0,0
53,sox10,0,72,0.019792798906564713,1.0,0.5843920111656189,0.011566753559604015,0,0
53,sox10,0,205,0.01996670849621296,1.0,0.5843920111656189,0.011668384934459541,0,0
53,melan,0,64,0.03291305527091026,1.0,0.3666341006755829,0.012067048419735937,0,0
53,sox10,0,83,0.021768540143966675,1.0,0.5843920111656189,0.012721360954872196,0,0
53,sox10,0,173,0.02226141467690468,1.0,0.5843920111656189,0.013009392894428151,0,0
53,melan,0,162,0.03611297905445099,1.0,0.3666341006755829,0.0132402495983448,0,0
53,melan,0,156,0.039857324212789536,1.0,0.3666341006755829,0.014613054218091226,0,0
53,melan,0,63,0.0454423762857914,1.0,0.3666341006755829,0.016660724762102563,0,0
53,melan,0,62,0.04866265133023262,1.0,0.3666341006755829,0.017841387406949294,0,0
53,sox10,0,55,0.034399744123220444,1.0,0.5843920111656189,0.020102935651751475,0,0
53,sox10,0,86,0.047805581241846085,1.0,0.5843920111656189,0.02793719976686382,0,0
58,melan,0,166,0.004593691788613796,1.0,0.9359859824180603,0.004299631121691461,1,1
58,melan,0,12,0.004628058522939682,1.0,0.9359859824180603,0.004331797903281975,1,1
58,melan,0,47,0.004803355783224106,1.0,0.9359859824180603,0.004495873681664486,1,1
58,melan,0,292,0.004847344011068344,1.0,0.9359859824180603,0.004537046046318105,1,1
58,melan,0,73,0.0048676528967916965,1.0,0.9359859824180603,0.004556054878673693,1,1
58,melan,0,175,0.004898601211607456,1.0,0.9359859824180603,0.004585022067520705,1,1
58,melan,0,130,0.004913810174912214,1.0,0.9359859824180603,0.00459925744398107,1,1
58,melan,0,239,0.005114531610161066,1.0,0.9359859824180603,0.004787129893744829,1,1
58,melan,0,163,0.005163552239537239,1.0,0.9359859824180603,0.004833012515690238,1,1
58,melan,0,69,0.005291811656206846,1.0,0.9359859824180603,0.004953061531806108,1,1
58,melan,0,53,0.005384896416217089,1.0,0.9359859824180603,0.005040187562352444,1,1
58,melan,0,127,0.005391859449446201,1.0,0.9359859824180603,0.0050467048638500045,1,1
58,melan,0,64,0.005392858292907476,1.0,0.9359859824180603,0.005047639767328388,1,1
58,melan,0,237,0.005393948871642351,1.0,0.9359859824180603,0.005048660533736954,1,1
58,melan,0,261,0.005845481064170599,1.0,0.9359859824180603,0.005471288336553887,1,1
58,melan,0,231,0.005944813601672649,1.0,0.9359859824180603,0.005564262199253822,1,1
58,melan,0,63,0.006113111041486263,1.0,0.9359859824180603,0.005721786243796212,1,1
58,melan,0,309,0.006454270798712969,1.0,0.9359859824180603,0.006041106994325557,1,1
58,melan,0,85,0.0065000602044165134,1.0,0.9359859824180603,0.006083965236207328,1,1
58,melan,0,165,0.006901717744767666,1.0,0.9359859824180603,0.006459911063708523,1,1
58,melan,0,305,0.007539893500506878,1.0,0.9359859824180603,0.007057234625399478,1,1
58,melan,0,306,0.007626048754900694,1.0,0.9359859824180603,0.0071378747358237515,1,1
58,melan,0,201,0.007642329670488834,1.0,0.9359859824180603,0.007153113444595183,1,1
58,melan,0,150,0.007820616476237774,1.0,0.9359859824180603,0.007319987395626282,1,1
58,melan,0,169,0.01097987312823534,1.0,0.9359859824180603,0.010277007336757016,1,1
58,melan,0,46,0.012030476704239845,1.0,0.9359859824180603,0.01126035755697552,1,1
58,melan,0,304,0.014642197638750076,1.0,0.9359859824180603,0.013704891741664893,1,1
58,melan,0,38,0.017253365367650986,1.0,0.9359859824180603,0.016148908133658546,1,1
58,melan,0,44,0.017857709899544716,1.0,0.9359859824180603,0.016714566144062082,1,1
58,melan,0,31,0.01897341012954712,1.0,0.9359859824180603,0.017758845919924937,1,1
58,melan,0,101,0.020117182284593582,1.0,0.9359859824180603,0.018829400624128523,1,1
58,melan,0,259,0.025290589779615402,1.0,0.9359859824180603,0.023671637520805477,1,1
58,melan,0,50,0.030390122905373573,1.0,0.9359859824180603,0.02844472904339168,1,1
58,melan,0,49,0.031159231439232826,1.0,0.9359859824180603,0.029164603850042048,1,1
58,melan,0,48,0.035294417291879654,1.0,0.9359859824180603,0.03303507984281295,1,1
58,melan,0,42,0.0413864403963089,1.0,0.9359859824180603,0.03873712807312568,1,1
58,melan,0,55,0.047343142330646515,1.0,0.9359859824180603,0.044312517585108235,1,1
58,melan,0,257,0.053947992622852325,1.0,0.9359859824180603,0.050494564874582704,1,1
63,melan,1,21,0.04379270225763321,0.26951950788497925,0.9126350283622742,0.010771819887885897,1,1
63,melan,1,18,0.04435502365231514,0.26951950788497925,0.9126350283622742,0.010910135736654118,1,1
63,melan,4,0,0.057111434638500214,0.23289340734481812,0.9126350283622742,0.012138845903407093,1,1
63,melan,4,11,0.05920175090432167,0.23289340734481812,0.9126350283622742,0.012583135688820517,1,1
63,melan,1,13,0.05220514163374901,0.26951950788497925,0.9126350283622742,0.012841052365118646,1,1
63,melan,0,1,0.0910642221570015,0.15654028952121735,0.9126350283622742,0.013009812836571991,1,1
63,melan,4,4,0.06121757626533508,0.23289340734481812,0.9126350283622742,0.0130115926796212,1,1
63,melan,4,5,0.06180146336555481,0.23289340734481812,0.9126350283622742,0.013135695945095406,1,1
63,melan,3,2,0.07889987528324127,0.1847754716873169,0.9126350283622742,0.013305088571584878,1,1
63,melan,4,9,0.06500022113323212,0.23289340734481812,0.9126350283622742,0.013815581293273746,1,1
